"","x"
"1",-2.41948055831763
"2",-2.39816036672963
"3",-2.27428435816529
"4",-2.17682817578656
"5",-1.96249937229551
"6",-2.24856879837944
"7",-2.47264613192625
"8",-2.70171036553482
"9",-1.91094154457564
"10",-2.20610387648773
"11",-2.11275372251626
"12",-2.36421094207521
"13",-2.20716172559826
"14",-2.40601511775538
"15",-2.52332277350294
"16",-1.99101826189736
"17",-2.09745657670259
"18",-1.97383665378964
"19",-2.33353057631237
"20",-2.39847634417934
"21",-2.46576146132829
"22",-1.99115525092099
"23",-2.58196317685188
"24",-2.33823559104946
"25",-2.1582601600015
"26",-2.12215234642827
"27",-2.28977854656252
"28",-2.24976238601764
"29",-2.10102841327346
"30",-1.73750251133206
"31",-2.17109242723628
"32",-2.41621078072853
"33",-1.94476223017197
"34",-1.953575139852
"35",-2.07197641491102
"36",-2.43280616410571
"37",-2.47202286989385
"38",-1.90564986939305
"39",-2.12827190724228
"40",-1.82007763010721
"41",-1.92108108565368
"42",-2.3416361330021
"43",-2.77495331756665
"44",-1.98920146683457
"45",-2.5057599852849
"46",-2.07788633111339
"47",-2.46629649745263
"48",-2.64932522357172
"49",-2.75221357619809
"50",-2.05550656208255
"51",-2.39447136494476
"52",-2.70549843245316
"53",-1.71417773383642
"54",-2.69840542916119
"55",-2.02359458553803
"56",-1.82551166435312
"57",-2.29450752138967
"58",-2.23502158765912
"59",-2.54582728778818
"60",-2.27176543872274
"61",-2.10145917557517
"62",-2.31495846330023
"63",-2.60188750841671
"64",-2.37670583708065
"65",-2.42042930546457
"66",-2.31161604329244
"67",-1.95562825671099
"68",-2.19536241858071
"69",-2.43685731686034
"70",-2.4109122162866
"71",-2.51949366079229
"72",-2.21155739596104
"73",-2.33733383362834
"74",-2.32386298603432
"75",-1.91228292299003
"76",-2.46992880697319
"77",-2.13187202976158
"78",-2.03241797440783
"79",-2.18750489372903
"80",-2.26598204678762
"81",-1.5761061795866
"82",-2.00498179485594
"83",-2.24376225360448
"84",-1.81876362490983
"85",-2.15233593451409
"86",-1.78505056679033
"87",-2.09210044701588
"88",-2.19950723759635
"89",-2.13835627778705
"90",-2.45345132866737
"91",-2.84151629870705
"92",-2.58356833755574
"93",-2.48777113359647
"94",-2.78465384353609
"95",-2.43987220400986
"96",-2.34751468352067
"97",-2.00938248331009
"98",-2.32264590736676
"99",-2.26464909656242
"100",-2.47111410274095
"101",-2.59355869643356
"102",-2.4656389115273
"103",-2.31646118603693
"104",-2.08975183098861
"105",-2.30543251263851
"106",-2.21730973468009
"107",-2.28082777513357
"108",-2.69696320981617
"109",-2.30511447210981
"110",-2.33568749376539
"111",-2.50288758669369
"112",-2.54037662249151
"113",-2.09821896024149
"114",-2.40881528750323
"115",-2.28798683216776
"116",-2.21098548038804
"117",-2.35287748653618
"118",-2.33756408679765
"119",-2.05912488437572
"120",-2.50276015547704
"121",-2.32045584007801
"122",-2.50070826805324
"123",-2.43191883405276
"124",-2.30601583461593
"125",-2.09130546696337
"126",-2.2271356212992
"127",-2.12695484524132
"128",-2.46844406365372
"129",-2.18573952053012
"130",-2.43377623502591
"131",-2.0128923109116
"132",-2.20412918189928
"133",-2.14585127156471
"134",-2.21562493655724
"135",-2.38151772326306
"136",-2.30508878470612
"137",-2.24214801036671
"138",-2.60808757572545
"139",-2.57933944335128
"140",-2.83565396340757
"141",-2.41995396472139
"142",-2.17947266343153
"143",-2.41022286972555
"144",-1.78600073065099
"145",-2.02289992404827
"146",-2.32206056953278
"147",-1.97213926618964
"148",-2.57734468051974
"149",-2.46318652000498
"150",-2.48415766688552
"151",-2.26530247525747
